Product/Company,Product/Company URL,Date/Source,Environmental Claims/Allegations,Year,channel,quote,claim_type,sub_category,plaintiff_law_firm,defendant_type,industry_sector,claim_location,certification_misuse,state_law_cited,relief_sought,jurisdiction,current_status,settlement_amount,ruling_date,ruling_pdf_url,ruling_description,case_name,court,docket_number,key_dates,summary,sources,verified_independently,confidence,research_error
Nespresso Vertuo Next Coffee Machines,https://truthinadvertising.org/class-action/nespresso-vertuo-next-coffee-machines/,Feb. 2025/class action,Sustainable and eco-friendly,2025,other channel,built with 54% recyclable materials,recyclable,mixed materials,Migliaccio & Rathod LLP,corporation,household goods,website,B Corporation,Florida Deceptive and Unfair Trade Practices Act,damages; injunction; restitution; attorney fees,"U.S. District Court, Southern District of New York",pending,,,https://truthinadvertising.org/wp-content/uploads/2025/03/Fahey-Ramirez-v-Nespresso-complaint.pdf,"This is the original complaint filing, not a ruling. The case appears to be in early stages with no major court orders or rulings found.","Fahey-Ramirez, et al. v. Nespresso USA Inc.",U.S. District Court for the Southern District of New York,1:25-cv-01684,"Filed: February 27, 2025",This is a class action lawsuit filed by Denise Fahey-Ramirez alleging that Nespresso Vertuo Next coffee machines have a design defect causing water leakage that renders them unusable. The case focuses on product defects rather than greenwashing claims and appears to be in early litigation stages.,https://www.classaction.org/news/class-action-lawsuit-claims-nespresso-vertuo-next-coffee-machines-are-notoriously-defective | https://www.soscip.org/class-action-allege-defects-nespresso-vertuo-coffee/ | https://truthinadvertising.org/wp-content/uploads/2025/03/Fahey-Ramirez-v-Nespresso-complaint.pdf | https://topclassactions.com/lawsuit-settlements/lawsuit-news/nespresso-class-action-claims-vertuo-next-coffee-machines-are-defective/ | https://dockets.justia.com/docket/new-york/nysdce/1:2025cv01684/637650 | https://moyleslaw.com/nespresso-vertuo-next-coffee-machine-lawsuit/ | https://unionrayo.com/en/nespresso-vertuo-next-leak-lawsuit/,TRUE,medium,
Gore-Tex Fabric,https://truthinadvertising.org/class-action/gore-tex-fabric/,Feb. 2025/class action,Sustainable,2025,packaging,committed to sustainability; environmentally sound; PFC* Free Laminate,PFAS,,HAGENS BERMAN SOBOL SHAPIRO LLP,corporation,apparel & textiles,hang tags,none,multiple states,damages; injunction; restitution; attorney fees,"U.S. District Court, Eastern District of Washington",motion_to_dismiss_filed,,,,"Defendants filed motion to dismiss on April 28, 2025, arguing plaintiffs lack standing and claims are speculative. Case also involves motion to transfer venue to Delaware.",Mason et al. v. W.L. Gore & Associates,U.S. District Court for the Eastern District of Washington,2:25-cv-00049,"Filed: February 11, 2025; Motion to Dismiss filed: April 28, 2025; Amended complaint filed in Maryland case: August 8, 2025","<cite index=""6-1,11-1,12-1,12-15"">The lawsuit was filed on February 11, 2025, in the U.S. District Court for the Eastern District of Washington, accusing Gore of misleading consumers by marketing Gore-Tex as environmentally sustainable while continuing to use harmful PFAS chemicals</cite>. <cite index=""17-15,17-16"">Defendants filed a motion to dismiss on April 28, 2025, arguing that plaintiffs lack standing and their claims are based on speculation</cite>. <cite index=""15-1,15-2,15-3"">A related case was filed in Maryland with an amended complaint on August 8, 2025, assigned to Judge Brendan A. Hurson, with defendants seeking to transfer the case to Delaware</cite>.",https://www.hbsslaw.com/cases/pfas-gore-tex-greenwashing | https://www.hbsslaw.com/press/pfas-gore-tex-greenwashing/maker-of-gore-tex-faces-consumer-class-action-lawsuit-alleging-greenwashing-campaign-to-conceal-pfas-in-outdoor-gear | https://hypebeast.com/2025/2/gore-tex-greenwashing-class-action-lawsuit | https://www.powder.com/news/lawsuit-gore-tex-greenwashing | https://www.verdantlaw.com/gore-tex-maker-faces-pfas-greenwashing-allegations/ | https://www.classaction.org/news/gore-tex-lawsuit-accuses-maker-of-greenwashing-environmental-sustainability-claims | https://www.businesswire.com/news/home/20250211330708/en/Hagens-Berman-Maker-of-Gore-Tex-Faces-Consumer-Class-Action-Lawsuit-Alleging-Greenwashing-Campaign-to-Conceal-PFAS-in-Outdoor-Gear | https://www.spokesman.com/stories/2025/feb/12/spokane-valley-man-leads-class-action-lawsuit-agai/ | https://www.law360.com/classaction/articles/2297045/gore-tex-maker-accused-of-greenwashing-waterproof-fabric | https://escapecollective.com/gore-tex-maker-faces-greenwashing-lawsuit-over-pfas/ | https://www.tysonmendes.com/gore-tex-greenwashing-lawsuit/ | https://dockets.justia.com/docket/washington/waedce/2:2025cv00049/110844,TRUE,high,
Clif Kid ZBar and ZBar Protein,https://truthinadvertising.org/class-action/clif-kid-zbar-and-zbar-protein/,Feb. 2025/class action,Climate Neutral,2025,packaging,climate neutral,carbon credits,,Zimmerman Reed LLP,corporation,food & beverage,front of pack,Change Climate Project,California UCL,damages; injunction; restitution; attorney fees,"U.S. District Court, Northern District of Illinois",dismissed_with_prejudice,,28/10/2025,,"Federal judge dismissed the lawsuit with prejudice, finding that Mondelez's 'climate neutral certified' label accurately reflected third-party certification rather than making a direct environmental claim about the products themselves",Salguero v. Mondelez International Inc.,"U.S. District Court, Northern District of Illinois",25-02139,"Filed: 2025, Dismissed: October 28, 2025","Judge Manish Shah dismissed the greenwashing class action with prejudice, ruling that Mondelez's 'climate neutral certified' labels were accurate statements about third-party certification rather than deceptive environmental claims. The plaintiff Cynthia Salguero had accused Mondelez of misleading consumers about the environmental impact of Clif Kid ZBar products.",https://www.insurancejournal.com/news/national/2025/10/29/845451.htm | https://money.usnews.com/investing/news/articles/2025-10-28/mondelez-defeats-greenwashing-lawsuit-over-climate-neutral-clif-bar-claim | https://www.claimsjournal.com/news/national/2025/10/29/333768.htm | https://energynews.oedigital.com/environment/2025/10/28/mondelez-defeats-greenwashing-lawsuit-over-climate-neutral-clif-bar-claim | https://knowesg.com/social-governance/mondelez-wins-greenwashing-case-over-climate-neutral-clif-bar-label,TRUE,high,
Apple Watches,https://truthinadvertising.org/class-action/apple-watch-series-9-apple-watch-se-2nd-generation-and-apple-watch-ultra-2/,Feb. 2025/class action,Carbon Neutral,2025,other channel,"carbon neutral; high-quality carbon credits from projects like forests and wetlands that actively remove carbon from the atmosphere. This last step brings the net carbon footprint of Apple Watch Series 9 down to zero, making it our first-ever carbon neutral product",carbon credits,,Schubert Jonckheer & Kolbe LLP,corporation,technology,website homepage; product page; packaging; multiple locations,none,California UCL; California CLRA; Florida FDUTPA; Washington D.C. CPPA,damages; injunction; restitution; attorney fees,"U.S. District Court, Northern District of California",motion_to_dismiss_filed,,,,"Apple filed a motion to dismiss the lawsuit. A hearing on the motion to dismiss was scheduled for August 27, 2025, and later rescheduled to November 12, 2025. The motion to dismiss is pending with briefing schedule set (responses due August 6, 2025, replies due August 27, 2025).",Dib v. Apple Inc.,U.S. District Court for the Northern District of California,5:25-cv-02043,"Filed: February 26, 2025; Apple served: March 6, 2025; Motion to dismiss filed: July 2, 2025; First amended complaint filed: May 19, 2025; Motion to dismiss hearing scheduled: November 12, 2025","Seven purchasers of Apple Watches filed a class action lawsuit alleging that Apple's carbon neutral claims are greenwashing based on ineffective carbon offset projects in Kenya and China. Apple has filed a motion to dismiss, with the Environmental Defense Fund filing an unusual amicus brief supporting Apple. The case is currently pending with a motion to dismiss hearing scheduled for November 2025.",https://www.courthousenews.com/wp-content/uploads/2025/02/Apple-watch-class-action.pdf | https://www.courtlistener.com/docket/69683989/dib-v-apple-inc/ | https://www.esgdive.com/news/carbon-neutral-apple-watch-not-carbon-neutral-says-german-court/758993/ | https://www.darrow.ai/resources/apple-greenwashing | https://trellis.net/article/apple-carbon-neutral-german-court-case/ | https://www.petersandpeters.com/case/apple-receive-support-from-environmental-defence-fund-as-it-faces-greenwashing-lawsuit/ | https://trellis.net/article/edf-amicus-brief-apples-greenwashing-suit/ | https://sustainabilitymag.com/articles/apple-faces-greenwashing-lawsuit-over-carbon-neutral-claims | https://climatecasechart.com/case/dib-v-apple-inc/,TRUE,high,
Fresh Wave Cleaning Products,https://truthinadvertising.org/class-action/fresh-wave-cleaning-products/,Feb. 2025/class action,Plant-based,2025,packaging,Plant-Based,ingredients sourcing,plant-based,"Malk & Pogo Law Group, LLP",corporation,household goods,front of pack,none,California UCL,damages; injunction; restitution; attorney fees,"U.S. District Court, Central District of California",voluntarily_dismissed,,07/04/2025,,"The plaintiff voluntarily dismissed the case with prejudice, meaning the case cannot be refiled and is permanently closed.",Oganes Martin Mishikyan v. OMI Industries Inc.,U.S. District Court for the Central District of California,2:25-cv-01183,"Filed: February 11, 2025; Voluntarily dismissed with prejudice: April 7, 2025","A class action lawsuit alleging Fresh Wave cleaning products contained synthetic ingredients despite being marketed as 'plant-based' was filed in February 2025. The plaintiff voluntarily dismissed the case with prejudice on April 7, 2025, meaning the case is permanently closed and cannot be refiled.",https://topclassactions.com/uncategorized/fresh-wave-plant-based-cleaning-products-contain-synthetic-ingredients-class-action-alleges/ | https://unicourt.com/courts/federal/us-district-courts-2?upid=2519775237&init_S=c_brcm,TRUE,high,
Charmin toilet paper,https://truthinadvertising.org/class-action/charmin-toilet-paper/,Jan. 2025/class action,"Protects, grows and restores trees",2025,packaging,Keep Forests as Forests; Protect-Grow-Restore; for every tree used at least two are regrown in its place,ingredients sourcing,wood,Hagens Berman Sobol Shapiro LLP,corporation,household goods,front of pack,FSC; Rainforest Alliance,multiple states,damages; injunction; restitution; attorney fees,"U.S. District Court, Western District of Washington",motion_to_dismiss_filed,,,https://cases.justia.com/federal/district-courts/washington/wawdce/2:2025cv00108/343856/43/0.pdf,"Stipulation extending deadline for motion to dismiss filing to August 21, 2025, following amended complaint filed in April 2025",Lowry et al. v. Procter & Gamble Co.,U.S. District Court for the Western District of Washington,2:25-cv-00108,"Filed: January 16, 2025; Amended Complaint: April 25, 2025; Motion to Dismiss deadline extended to: August 21, 2025; Motion for multidistrict litigation consolidation filed: June 2, 2025","<cite index=""11-1,21-6,21-9"">The lawsuit was filed on January 16, 2025 in the Western District of Washington by Hagens Berman, with an amended complaint filed April 25, 2025. Seven separate related actions have been filed in six federal district courts, and plaintiffs filed a motion in June 2025 to consolidate all cases in the Western District of Washington or Massachusetts for coordinated pretrial proceedings.</cite> <cite index=""33-10,31-4"">A motion to dismiss has been filed by defendants, with briefing scheduled for August 21, 2025.</cite>",https://www.hbsslaw.com/cases/charmin-toilet-paper-eco-friendly-advertising | https://www.classaction.org/news/charmin-toilet-paper-class-action-alleges-procter-and-gambles-sustainability-campaign-is-greenwashing | https://packagingeurope.com/news/pandg-faces-lawsuit-alleging-misleading-environmental-claims-on-toilet-paper-packaging/12385.article | https://www.businesswire.com/news/home/20250116470731/en/Hagens-Berman-Consumer-Lawsuit-Alleges-Widespread-Deforestation-Behind-Charmin-Toilet-Papers-Greenwashed-Facade | https://topclassactions.com/lawsuit-settlements/lawsuit-news/procter-gamble-class-action-lawsuit-and-settlement-news/charmin-class-action-alleges-toilet-paper-not-as-sustainable-as-advertised/ | https://finance.yahoo.com/news/procter-gamble-accused-greenwashing-charmin-164406320.html | https://www.law360.com/cases/67897f8464fa2f24d466038e | https://climatecasechart.com/case/lowry-v-proctor-gamble-co/ | https://cases.justia.com/federal/district-courts/washington/wawdce/2:2025cv00108/343856/43/0.pdf | https://caselaw.findlaw.com/court/us-jud-pan-mul-lit/117604558.html,TRUE,high,
"Apple Watch Sport Band, Ocean Band, and Nike Sport Band",https://truthinadvertising.org/class-action/apple-watch-sport-band-ocean-band-and-nike-sport-band/,Jan. 2025/class action,Sustainable,2025,other channel,"The ultimate device for a healthy life; Apple Watch can do what your other devices can't because it's on your wrist; When you wear it, you get meaningful health insights; Peace of mind on your wrist; Better understand your daily health status; A great call for kids; live a healthier day; Track daily activity; Apple Watch For Your Kids: Independence for them. Peace of mind for you.; The same innovative thinking that goes into creating the products you love goes into our environment initiatives. And as we design durable products, we're also using smarter chemistry to make sure they're safer for everyone who assembles, uses, and recycles them.",PFAS,,"Clarkson Law Firm, P.C.",corporation,technology,website homepage,none,California UCL,damages; injunction; restitution; attorney fees,"U.S. District Court, Northern District of California",pending,,,,Case remains in early litigation stage with no major rulings yet. Apple has filed appearances and stipulations regarding responsive pleading deadlines but no motions to dismiss or substantive rulings have been issued.,"Dominique Cavalier, et al. v. Apple Inc.",U.S. District Court for the Northern District of California,5:25-cv-00713,"Filed January 21, 2025; Summons issued January 22, 2025; Pro hac vice motions filed January 24, 2025; Apple appearances filed February 12-13, 2025; Case reassignment notice February 6, 2025 (assigned to Judge P. Casey Pitts)","This class action lawsuit filed January 21, 2025, alleges Apple falsely marketed its Apple Watch Sport Band, Ocean Band, and Nike Sport Band as safe and sustainable while containing harmful PFAS chemicals. The case remains in early litigation with Apple having recently filed appearances and no substantive motions or rulings yet issued.",https://www.courtlistener.com/docket/69564586/cavalier-v-apple-inc/ | https://topclassactions.com/lawsuit-settlements/lawsuit-news/apple-class-action-alleges-smartwatch-bands-contain-toxic-pfas-chemicals/ | https://www.steptoe-johnson.com/news/pfas-lawsuits-involve-apple-watch-bands-samsung-galaxy-watch-bands-and-hersheys-chocolate-wrappers/ | https://allaboutlawyer.com/apple-watch-band-lawsuit-forever-chemicals-found-in-sport-bands-status-update-claims-compensation/ | https://www.theregister.com/2025/01/22/apple_watch_pfas_bands | https://dockets.justia.com/docket/california/candce/5:2025cv00713/443094,TRUE,high,
365 Whole Foods Market Flushable Wipes,https://truthinadvertising.org/class-action/365-whole-foods-market-plant-based-flushable-wipes/,Jan. 2025/class action,Plant-based,2025,packaging,Plant-Based Flushable Wipes,ingredients sourcing,plant-based,"Kuzyk Law, LLP",corporation,cosmetics & personal care,front of pack,none,California UCL,damages; injunction; restitution; attorney fees,"U.S. District Court, Central District of California",voluntarily_dismissed,,28/02/2025,,"Plaintiff filed a notice of voluntary dismissal without prejudice, allowing for potential refiling of the case","Vishal Shah, et al. v. Whole Foods Market Inc.",U.S. District Court for the Central District of California,8:25-cv-00085,"Filed: January 2025, Voluntarily dismissed: February 2025",The class action lawsuit alleging Whole Foods falsely marketed its 365 Plant-Based Flushable Wipes as plant-based when they contained synthetic ingredients was voluntarily dismissed without prejudice in February 2025. The dismissal allows plaintiff Vishal Shah to potentially refile the case in the future.,https://topclassactions.com/lawsuit-settlements/lawsuit-news/whole-foods-class-action-claims-365-plant-based-flushable-wipes-not-plant-based/ | https://truthinadvertising.org/class-action/365-whole-foods-market-plant-based-flushable-wipes/ | https://usesparrow.com/blog/whole-foods-class-action-lawsuit/,TRUE,high,
Sprouts Tableware,https://truthinadvertising.org/class-action/sprouts-tableware/,Jan. 2025/class action,Compostable,2025,packaging,compostable; PFAS Free,PFAS,,"Kahn, Soares & Conway, LLP",multiple entities,household goods,front of pack,BPI,California UCL,injunction; damages; restitution; attorney fees,"U.S. District Court, Eastern District of California",pending,,,https://www.classaction.org/media/tyndall-v-sprouts-farmers-market-inc-et-al.pdf,Original class action complaint filed - no rulings yet issued,Tyndall v. Sprouts Farmers Market Inc. et al.,U.S. District Court for the Eastern District of California,1:25-cv-00048-KES-HBK,"Filed: January 10, 2025 (complaint dated January 8, 2025)","This is a very recent class action lawsuit filed in January 2025 by Randy Tyndall against Sprouts Farmers Market and EcoSoul Home Inc., alleging they falsely advertised disposable tableware as compostable when the products actually contain PFAS chemicals. The case is still in its early stages with only the initial complaint filed.","https://topclassactions.com/lawsuit-settlements/lawsuit-news/sprouts-farmers-market-class-action-alleges-compostable-tableware-products-contain-pfas/ | https://www.classaction.org/media/tyndall-v-sprouts-farmers-market-inc-et-al.pdf | https://www.law360.com/cases/678188589cb221d51b75ee94/dockets | https://www.pacermonitor.com/public/case/56469841/Tyndall_v_Sprouts_Farmers_Market,_Inc_et_al",TRUE,high,
Band-Aid,https://truthinadvertising.org/class-action/band-aid/,July/class action,Committed to the health of the planet,2024,packaging,"We prioritize safety and quality in the development of every wound care product; Every piece of material in our BAND-AID Brand bandages and every ingredient in our antibiotic treatments are chosen with safety as the top concern; Our over-the-counter active ingredients have proven to be the best quality through safety assurance processes and ongoing evaluation; Our manufacturing facilities undergo regular audits and certification so that we can ensure our products are manufactured with the highest standards and comply with most discerning regulatory standards; Our scientists ensure the safety and efficacy of our products through clinical studies and laboratory models; Better Ingredients, Better Processes",PFAS,,Seeger Weiss LLP,multiple entities,household goods,packaging,none,multiple states,damages; injunction; restitution; attorney fees,"U.S. District Court, District of New Jersey",motion_to_dismiss_filed,,,,"Johnson & Johnson and Kenvue have filed motions to dismiss multiple Band-Aid PFAS class action lawsuits, arguing that plaintiffs come 'nowhere close' to stating plausible claims. Multiple cases are pending with no final rulings on the motions to dismiss yet.","Multiple cases including: Moultrie v. Johnson & Johnson, et al.; Aronstein, et al. v. Kenvue Inc., et al.; Carl Saputo Jr. et al. v. Johnson & Johnson et al.",U.S. District Court for the District of New Jersey (primary jurisdiction) and other federal courts,"Multiple cases: 2:24-cv-04757 (NJ), 3:24-cv-04665 (NJ), 3:24-cv-01117 (S.D. Cal.)","First lawsuit filed April 2024, multiple additional cases filed through 2025, motions to dismiss filed by July 2025","Multiple Band-Aid PFAS class action lawsuits are pending against Johnson & Johnson and Kenvue Inc., alleging the companies failed to disclose that their bandages contain harmful PFAS 'forever chemicals.' Defendants have filed motions to dismiss arguing plaintiffs lack plausible claims. Cases are still in early motion practice phase with no final rulings on the merits yet.",https://topclassactions.com/uncategorized/band-aid-class-action-claims-bandages-contain-high-levels-of-pfas/ | https://www.law360.com/articles/2362699/j-j-seeks-to-toss-nowhere-close-band-aid-pfas-suit-in-nj | https://topclassactions.com/lawsuit-settlements/lawsuit-news/johnson-and-johnson-class-action-lawsuit-and-settlement-news/band-aid-class-action-claims-product-contains-pfas/ | https://www.stblaw.com/about-us/publications/view/2025/11/21/pfas-litigation-and-insurance-coverage-update---november-2025 | https://thelegaljournal.com/2025/02/11/what-pfas-chemicals-are-found-in-band-aid-products-for-people-of-color/ | https://www.actumo.com/class-action-lawsuit-news/new-lawsuit-claims-toxic-chemicals-are-found-in-band-aids-made-for-people-of-color,TRUE,medium,
"Plastics from Exxon Mobil, Chevron and others",https://truthinadvertising.org/class-action/plastics-from-exxon-mobile-chevron-and-others/,Dec./class action,Recyclable,2024,other channel,plastic recycling as a solution to plastic waste; recyclable; plastics are recyclable and better for the environment,recyclable,multiple materials,"Sharp Law, LLP",multiple entities,energy & utilities,multiple locations,none,multiple states,damages;injunction;corrective advertising;restitution;attorney fees,"U.S. District Court, Western District of Missouri",pending,,,,,Consumer Class Action against ExxonMobil and Others (Western District of Missouri),U.S. District Court for the Western District of Missouri,,"December 16, 2024: Class action lawsuit filed by four residents from California, Florida, Kansas, and Missouri","In December 2024, Sharp Law filed a class action lawsuit against ExxonMobil, Chevron and other major plastic producers alleging they misrepresented the recyclability of plastics. This appears to be a separate but related case to the Ford County, Kansas lawsuit also filed around the same time by the same law firm. The case is in very early stages with no major rulings yet.",https://www.plasticpollutioncoalition.org/blog/2024/9/24/exxonmobil-faces-two-lawsuits-for-plastic-pollution | https://resource-recycling.com/plastics/2025/01/08/exxonmobil-sues-california-ag-for-defamation/ | https://kansasreflector.com/2024/12/12/kansas-county-sues-plastic-companies-over-recycling-alleging-fraud-and-deception/ | https://climateintegrity.org/news/view/kansas-county-sues-big-oil-for-plastic-recycling-lies,TRUE,medium,
The Hot Pot Company Feminine Care Products,https://truthinadvertising.org/class-action/the-honey-pot-company-feminine-care-products/,Nov./class action,Plant-Derived,2024,packaging,plant-derived,other,natural,"CROSNER LEGAL, P.C.",LLC,cosmetics & personal care,front of pack,none,California UCL,injunction; restitution; damages; attorney fees; corrective advertising,"U.S. District Court, Northern District of California",pending,,,,,"Tucker et al v. The Honey Pot Company, LLC",U.S. District Court for the Northern District of California,4:24-cv-07911,"Filed November 12, 2024; Last docket retrieved January 6, 2025",A class action lawsuit filed in November 2024 alleges The Honey Pot Company misled consumers by labeling its feminine care products as 'plant-derived' when they contain synthetic ingredients. The case is still pending with no major rulings or motions to dismiss filed yet.,https://www.law360.com/articles/2260130/honey-pot-greenwashes-plant-derived-products-suit-says | https://www.law360.com/cases/6733e480e41c1103791b4085 | https://dockets.justia.com/docket/california/candce/4:2024cv07911/439216 | https://injuryclaims.com/news/class-action-false-advertising/honey-pot-lawsuit-plant-derived-claims,TRUE,medium,
Earth Rated Dog Wipes,https://truthinadvertising.org/class-action/earth-rated-dog-wipes/,Nov./class action,Plant-Based,2024,packaging,Plant-Based,ingredients sourcing,plant-based ingredients,"Malk & Pogo Law Group, LLP",corporation,household goods,front of pack,none,California UCL; California FAL; California CLRA,damages; injunction; restitution; attorney fees,"U.S. District Court, Central District of California",pending,,,,,Martirosyan v. Earth Rated 9199-4467 Québec Inc.,"U.S. District Court, Central District of California",,"Filed July 2024, case ongoing as of January 2025","<cite index=""1-1,5-1"">The maker of Earth Rated plant-based dog wipes faces a class action that alleges the product is falsely advertised since it contains several non-plant-based ingredients.</cite> <cite index=""5-6"">According to the 40-page complaint, the supposedly ""plant-based"" dog wipes are, in fact, made with citric acid, caprylyl glycol, glycerin, propylene glycol, sodium citrate and tocopheryl acetate—all synthetic and highly processed substances.</cite> <cite index=""15-1,15-2"">He is suing for breach of warranty, unjust enrichment and violations of California consumer laws. He's seeking certification of the class action, damages, fees, costs and a jury trial.</cite>",https://www.classaction.org/news/earth-rated-dog-wipes-are-falsely-advertised-as-plant-based-class-action-lawsuit-says | https://topclassactions.com/lawsuit-settlements/consumer-products/pet/earth-rated-class-action-claims-pet-wipes-falsely-advertised-as-plant-based/,TRUE,medium,
